player,opponent,games_against,wins_against,win_rate_against
qFoal,Alpha_762,4,1,0.25
qFoal,Ay_Ant,4,3,0.75
qFoal,Beanzs2K,4,1,0.25
qFoal,Deciding,17,10,0.5882352941176471
qFoal,EricTheHispanic,4,1,0.25
qFoal,Firefi6ht_RL,4,3,0.75
qFoal,FriendlyFennec,9,6,0.6666666666666666
qFoal,Hedmarkers,12,9,0.75
qFoal,Infantryboyz09,16,12,0.75
qFoal,NMTotra,8,3,0.375
qFoal,OGYeet_,5,3,0.6
qFoal,Orange,5,3,0.6
qFoal,Preet,10,9,0.9
qFoal,Recktals,8,2,0.25
qFoal,Ryan,5,3,0.6
qFoal,"Shuk""!",3,0,0.0
qFoal,SpicyShinobi,8,2,0.25
qFoal,TheRealDunion,3,3,1.0
qFoal,TheRyan.,4,1,0.25
qFoal,TweakingOut,3,3,1.0
qFoal,bro.ro711,11,2,0.18181818181818182
qFoal,chewy_chungus69,15,6,0.4
qFoal,dray (learning controller,4,1,0.25
qFoal,enzo,4,3,0.75
qFoal,tjdubya21,10,6,0.6
shack house,Ascended!,27,13,0.48148148148148145
shack house,Bloom,4,3,0.75
shack house,Boydardi,14,4,0.2857142857142857
shack house,Car-.-,20,10,0.5
shack house,Cimino,7,1,0.14285714285714285
shack house,DeltaJRomeo_,10,5,0.5
shack house,FBISSsosa,18,7,0.3888888888888889
shack house,Geo,8,6,0.75
shack house,Goose,56,29,0.5178571428571429
shack house,Groovy,4,3,0.75
shack house,ItsDaaes,12,8,0.6666666666666666
shack house,JCISK,5,3,0.6
shack house,Kyle$,13,5,0.38461538461538464
shack house,Maples,15,7,0.4666666666666667
shack house,Mateo,12,3,0.25
shack house,MtnDru,7,3,0.42857142857142855
shack house,Nem,20,11,0.55
shack house,Siem,7,4,0.5714285714285714
shack house,TSabin.,5,2,0.4
shack house,Trickter02,5,3,0.6
shack house,Tylanz,4,3,0.75
shack house,Ziyor,3,3,1.0
shack house,bass!,30,17,0.5666666666666667
shack house,ko!,29,17,0.5862068965517241
shack house,nIMBUSXNZ^^,36,15,0.4166666666666667
shack house,sly,29,15,0.5172413793103449
shack house,x0ffe,3,1,0.3333333333333333
ski11acam,Alpha_762,4,1,0.25
ski11acam,Beanzs2K,7,1,0.14285714285714285
